
Integration time [ms]:  15,000
Averaging Nr. [scans]: 50
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 317,76;   20,800;   17,100;    0,000; 3,70000
 317,78;    7,240;  -10,500;    0,000;17,74000
 317,80;   -8,280;    9,800;    0,000;-18,08000
 317,82;    4,780;    8,400;    0,000;-3,62000
 317,84;   10,520;    3,100;    0,000; 7,42000
 317,86;   -1,480;   15,500;    0,000;-16,98000
 317,88;    6,100;   32,700;    0,000;-26,60000
 317,90;   -0,140;   -3,400;    0,000; 3,26000
 317,92;    3,560;   -2,700;    0,000; 6,26000
 317,94;   20,840;    6,700;    0,000;14,14000
 317,96;    4,100;   13,900;    0,000;-9,80000
 317,98;    9,360;   20,800;    0,000;-11,44000
 318,00;    7,660;   20,800;    0,000;-13,14000
 318,02;    7,620;  -22,800;    0,000;30,42000
 318,04;  -12,280;   27,200;    0,000;-39,48000
 318,05;    6,960;  -11,900;    0,000;18,86000
 318,07;    6,360;    5,400;    0,000; 0,96000
 318,09;   11,220;   -3,400;    0,000;14,62000
 318,11;   15,880;   30,100;    0,000;-14,22000
 318,13;    5,940;  -25,400;    0,000;31,34000
 318,15;    3,780;    3,500;    0,000; 0,28000
 318,17;   -4,380;   -7,600;    0,000; 3,22000
 318,19;    3,460;   17,800;    0,000;-14,34000
 318,21;    0,980;   -3,900;    0,000; 4,88000
 318,23;    9,420;   15,700;    0,000;-6,28000
 318,25;   -1,220;  -42,000;    0,000;40,78000
 318,27;   20,420;   26,800;    0,000;-6,38000
 318,29;   15,400;   21,200;    0,000;-5,80000
 318,30;    3,420;    2,700;    0,000; 0,72000
 318,32;    7,980;  -28,400;    0,000;36,38000
 318,34;   14,980;    7,200;    0,000; 7,78000
 318,36;   11,660;  -19,300;    0,000;30,96000
 318,38;    6,700;  -14,700;    0,000;21,40000
 318,40;    2,160;  -19,800;    0,000;21,96000
 318,42;    9,880;   17,500;    0,000;-7,62000
 318,44;    0,760;   -7,000;    0,000; 7,76000
 318,46;   10,820;    5,800;    0,000; 5,02000
 318,48;    0,900;  -23,400;    0,000;24,30000
 318,50;   11,080;   14,200;    0,000;-3,12000
