
Integration time [ms]: 230,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,52; -107,842;  -82,617;    0,000;-25,22494
 291,69;   55,288;   40,603;    0,000;14,68471
 291,86;  -55,738;  -92,405;    0,000;36,66729
 292,03;  122,942;  123,983;    0,000;-1,04047
 292,20;    9,390;    9,992;    0,000;-0,60188
 292,37;   61,966;   23,184;    0,000;38,78212
 292,53;  -41,409;  -34,815;    0,000;-6,59388
 292,70;  -99,074;  -87,810;    0,000;-11,26400
 292,87;   -1,977;   80,186;    0,000;-82,16282
 293,04;   31,880;   20,788;    0,000;11,09224
 293,21;  156,625;  184,193;    0,000;-27,56800
 293,38;  -61,299;  -89,811;    0,000;28,51200
 293,55;   18,026;   28,386;    0,000;-10,36000
 293,71;   86,705;   86,996;    0,000;-0,29176
 293,88;  -61,381;  -56,614;    0,000;-4,76706
 294,05;    8,322;    9,974;    0,000;-1,65224
 294,22;  127,194;   96,985;    0,000;30,20894
 294,39;   18,905;   15,396;    0,000; 3,50824
 294,56;  -72,777;  -60,022;    0,000;-12,75482
 294,73;  -14,195;  -66,415;    0,000;52,22024
 294,89;   -5,646;   48,376;    0,000;-54,02118
 295,06;   19,957;  -15,017;    0,000;34,97365
 295,23;  -96,197;  -67,423;    0,000;-28,77459
 295,40;  -43,834;    5,184;    0,000;-49,01788
 295,57;   42,897;   32,373;    0,000;10,52376
 295,74;   14,176;    2,576;    0,000;11,60000
 295,91;  -64,009;    1,777;    0,000;-65,78588
 296,07;  -16,578;  -54,822;    0,000;38,24376
 296,24;   79,920;   71,189;    0,000; 8,73035
 296,41;   40,978;   13,777;    0,000;27,20141
 296,58;   22,759;   18,176;    0,000; 4,58306
 296,75;    7,806;  -44,822;    0,000;52,62824
 296,92;   50,889;   42,781;    0,000; 8,10871
 297,09;   47,014;   30,785;    0,000;16,22871
 297,25;   70,047;   34,372;    0,000;35,67576
 297,42;   -1,746;  -32,421;    0,000;30,67482
 297,59;   73,498;   52,389;    0,000;21,10918
 297,76;   11,859;   -9,628;    0,000;21,48706
 297,93;   24,825;   21,978;    0,000; 2,84659
