
Integration time [ms]:   1,200
Averaging Nr. [scans]: 50
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;   12,438;    6,061;    0,000; 6,37785
 291,48;   -1,819;   -8,002;    0,000; 6,18311
 291,65;   12,385;   -0,743;    0,000;13,12710
 291,82;    3,349;   -0,161;    0,000; 3,50977
 291,99;    2,887;   -2,842;    0,000; 5,72894
 292,16;    3,639;  -10,560;    0,000;14,19928
 292,33;    7,270;   -1,161;    0,000; 8,43155
 292,50;    1,020;    4,377;    0,000;-3,35659
 292,66;    3,805;   -4,461;    0,000; 8,26578
 292,83;    5,990;   -1,980;    0,000; 7,97018
 293,00;    3,404;    1,920;    0,000; 1,48399
 293,17;   -8,602;    0,281;    0,000;-8,88215
 293,34;    7,957;    6,000;    0,000; 1,95673
 293,51;   -1,232;   -4,225;    0,000; 2,99276
 293,68;    2,223;    6,157;    0,000;-3,93439
 293,85;   -2,086;   -3,902;    0,000; 1,81620
 294,01;   10,628;   -3,562;    0,000;14,19007
 294,18;    2,754;    7,818;    0,000;-5,06380
 294,35;    3,192;    3,698;    0,000;-0,50630
 294,52;    7,562;   -2,122;    0,000; 9,68423
 294,69;    5,869;    7,198;    0,000;-1,32922
 294,86;   -1,232;    3,658;    0,000;-4,88993
 295,03;    0,729;    7,756;    0,000;-7,02754
 295,20;   -5,300;    9,496;    0,000;-14,79557
 295,36;   10,965;    7,516;    0,000; 3,44811
 295,53;    9,651;   -2,341;    0,000;11,99227
 295,70;   10,759;    0,079;    0,000;10,67959
 295,87;    0,405;   -1,183;    0,000; 1,58817
 296,04;    3,044;   -1,440;    0,000; 4,48470
 296,21;   -4,992;   -1,141;    0,000;-3,85065
 296,38;    1,011;    3,977;    0,000;-2,96570
 296,55;    3,500;   -5,941;    0,000; 9,44102
 296,71;    6,796;    3,458;    0,000; 3,33840
 296,88;    2,795;   -3,264;    0,000; 6,05901
 297,05;    8,533;   11,779;    0,000;-3,24553
 297,22;   -3,191;    2,576;    0,000;-5,76683
 297,39;    3,221;   -1,403;    0,000; 4,62412
 297,56;    5,123;    1,216;    0,000; 3,90734
